titre,artistes,url,streams_avant,streams_apres,ecart
Mieux,"Sigma 999, 4V",https://open.spotify.com/track/3iPI0xsMl02LJBDHTRtx02?si=clsTe3VWT1-q78X9rq31_g,5445,5446,1
Focal,wDixon,https://open.spotify.com/track/61Tc2YHOUsCr6GyQiUXWRS?si=qpLn_NuwTwCu9FdFC1xyXQ,1630,1630,0
Interlude,DEL MARAS,https://open.spotify.com/track/3YW2Ryoh4Mu3UpNggFLKIP?si=XOyaLAjpQoGvk5wVmjAnIg,17439,17439,0
ME ATRAPA (NANO),bloke7prod,https://open.spotify.com/track/33lkzeeVn2UVUjcePSFDD6?si=yGLcv2h7RTCwu7DO4UQF8w,0,0,0
ASSANE DIOP,Kronkel Dom,https://open.spotify.com/track/5QGASEbbs0T8SmldFijc04?si=wuZ9n6MTTKyUmGsXPsF74g,7860419,7869569,9150
Intro,jexy,https://open.spotify.com/track/3Mnsm0wzySzaNJTEwuVaQX?si=YtWXwDixSTqBgJhlc4tkUg,0,0,0
Mansa Moussa,G-DU,https://open.spotify.com/track/2X0I2inYaAVMG6LmyOTAWv?si=fT0wtI5VQVO7O-nK6lBI7g,3631,3637,6
Je perd la raison,"JR4, Lipano",https://open.spotify.com/track/4IWbvJ6VWJaxykoipxMhBN?si=gJNK9qZcTf63s9yTrudSQQ,0,0,0
QUI POURRAIT ?,Warrigal,https://open.spotify.com/track/2MzYmQHPtC64P69CbTf2Wq?si=tsZygwQYQxOH8D-RAdZDiA,89205,90500,1295
Sweet Dreams,"Ba2, Skarr",https://open.spotify.com/track/31DbnMhsY7vd252q014MXU?si=B9QBmJ71QjOfYIThUqIWqQ,0,0,0
Verändert,"XAYE, TIPSIE",https://open.spotify.com/track/0VuwSBmABLB087N2pb0ijx?si=vbpTWSvIS9m2A1wNrh6kCA,0,1000,1000
Ride or Die,Shiva,https://open.spotify.com/track/1juCtQiq8Q87sNIq6O3m4C?si=N8pfU6qtQMWBR7AzFnc6Tw,6089147,6089150,3
D et Dash,Bacy213,https://open.spotify.com/track/6ngxAxtLLRXgxLJ5GDXcjZ?si=cOv99vYjT5yzn905oUsc-g,7539,7574,35
Mauvais,Gezah,https://open.spotify.com/track/77OBAxijRMimk6EkwyLaJC?si=vN-CZw3sSfyVYEC-MqvJ9A,8638,8641,3
22 bougies,Albinks,https://open.spotify.com/track/1wzs0TJT2QeVNUzyheid4f?si=f603ge_ySECsVkxDL2rXoQ,0,0,0
No Fake,Malyk-Man,https://open.spotify.com/track/5IIrLLO2v2TCPUINDL0kpF?si=9KDBut4eTLCI4639T9TCaA,0,0,0
Cali-Plate,CCINO,https://open.spotify.com/track/3nwQ7gu0uT0tzOUjxgKB2p?si=7G40u9HFQfedwZHS-qHVCQ,91052,93874,2822
TLJ,Pepiito 680,https://open.spotify.com/track/69CVngUjsMa0b0JCKVbzKL?si=oxx2kDWWR_e6VLnY1_d3iQ,35609,35628,19
Palestine,Ilies,https://open.spotify.com/track/11acPWWSJLJLhJQ1GLV6qk?si=bW9MEVb7T9OWc2WNorGlvg,4725,4742,17
Snifar,Safira,https://open.spotify.com/track/4uVIv4ydis8ekXNjJX8bye?si=0jtagICbTIG7UK-JiSDhAw,0,0,0
SHINOBI,OTMAN,https://open.spotify.com/track/0gIpEgErUevRHZDmnWpEh1?si=594x3pCsTXqCoYbKNMn9nQ,0,0,0
"Antiheld, Pt. 2",YungElias,https://open.spotify.com/track/3ov3SOtgcKkVjKqNsTu5Gy?si=6ymnBjsQTwiawERk6-L60g,8513,8516,3
kairos,LOG,https://open.spotify.com/track/1VcSmNOn0mJojhXrvBZJ5s?si=Pj1OtvB8QlejXt_Yv1dl-Q,97485,98816,1331
GTA 5,YNS,https://open.spotify.com/track/3KDYybQRVSNDVH0ZFzGX7R?si=JtDN0bNRTWmzFEu---AP1g,0,0,0
COEUR FROID,MVHI,https://open.spotify.com/track/2iAom45CZkSTmmVlSGXznE?si=NsvBN02HSm2fphXbtrqtyQ,0,0,0
Conséquence,J.O.S,https://open.spotify.com/track/0a77iTP67TktrJZVBA0E1n?si=4WotBYVZRpOCRX45jj5lQw,0,0,0
Ray Liotta,"Hoofer, Abdou Ziani",https://open.spotify.com/track/7DaaIf6MJlbu1ep8rjJ8Wk?si=IUojCH4oTI6qgAQHh_4VbA,14795,14860,65
Don Quichotte,Keny,https://open.spotify.com/track/0hrXO0FS25V0J9fb8NwSjN?si=xSoWN0KtSuipmJnMunwmag,1996,1996,0
Marseille,So La Zone,https://open.spotify.com/track/427ZT7N5XML2VC2VrcSkg7?si=24tI1mH7SNSwjpwxCowrkA,1975112,1979960,4848
IGO,G.Anubi,https://open.spotify.com/track/0ZPmAdWW33eogDrYnGdw2s?si=3inXmPR8Qs21js5i3xM15g,14307,14307,0
Cicatrices,OXZEN,https://open.spotify.com/track/01mgRtAtpqCb7jjjotXLHB?si=Tw9L7_H_QCa2a4cTqn8Uwg,0,0,0
